passer_player_id,passer_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,teamQBTier,ctotalEPA,ctotalEP,cCPOE,cactualization,cYPG,cTDperGame,intPerGame,cthirdConvert,EPA_rank,EP_rank,CPOE_rank,YPG_rank,TD_rank,actualization_rank,int_rank,third_rank,EPA_rank_num,EP_rank_num,CPOE_rank_num,YPG_rank_num,TD_rank_num,actualization_rank_num,int_rank_num,third_rank_num
00-0034796,L.Jackson,BAL,BAL,2023,QB,16,5,0.7843,2,2,2,56.01,1413.1,3.475,0.832,267.7,1.88,0.44,0.407,0.8704,0.9444,0.7963,0.8889,0.7778,0.7778,0.1481,0.3519,8,4,12,7,12,13,9,36
00-0022924,B.Roethlisberger,PIT,PIT,2017,QB,15,5,0.7712,2,2,2,81.74,1224.44,2.913,0.791,278.1,2,0.93,0.445,0.9111,0.9111,0.8,0.9778,0.8,0.7111,0.6889,0.5455,5,5,10,2,10,14,32,21
00-0036212,T.Tagovailoa,MIA,MIA,2024,QB,11,6,0.8168,2,2,4,86.31,951.56,3.781,1.129,252.4,1.82,0.64,0.544,0.8298,0.5745,0.8298,0.8723,0.7447,0.9787,0.4043,0.8913,9,21,9,7,13,2,20,6
00-0036212,T.Tagovailoa,MIA,MIA,2022,QB,13,6,0.7814,2,2,5,81.28,901.81,1.433,0.837,267.4,2,0.62,0.306,0.931,0.6207,0.7586,0.8966,0.8966,0.7241,0.3448,0.2105,5,23,15,7,7,17,21,46
00-0034857,J.Allen,BUF,BUF,2021,QB,17,6,0.7787,2,2,2,132.32,1861.54,2.098,0.767,297.2,2.43,0.88,0.567,0.96,1,0.72,0.94,0.9,0.38,0.76,0.8367,3,1,15,4,6,32,40,9
00-0029668,A.Luck,IND,IND,2018,QB,16,6,0.7726,2,2,2,78.82,1463.97,0.846,0.906,289.5,2.7,0.94,0.473,0.8298,0.9362,0.5106,0.9149,0.9787,0.8723,0.617,0.5556,9,4,24,5,2,7,30,21
00-0033077,D.Prescott,DAL,DAL,2016,QB,16,6,0.7676,2,2,2,123.11,1128.15,4.249,0.889,239.1,1.84,0.25,0.446,0.9318,0.5682,0.8667,0.5455,0.7045,0.8,0.1333,0.5854,4,20,7,21,14,10,7,18
00-0029604,K.Cousins,MIN,MIN,2019,QB,15,6,0.7625,2,2,2,69.88,939.55,4.38,0.937,231.8,1.82,0.4,0.5,0.8776,0.4898,0.9,0.449,0.7143,0.9,0.16,0.6889,7,26,6,28,15,6,9,15
00-0020531,D.Brees,NO,NO,2017,QB,16,6,0.7613,2,2,2,78.04,1230.59,4.681,1.182,262.7,1.65,0.5,0.296,0.8889,0.9333,0.9111,0.7778,0.6889,1,0.1333,0.0682,6,4,5,11,15,1,7,42
00-0036389,J.Hurts,PHI,PHI,2023,QB,17,6,0.7556,2,2,2,62.38,1471.2,3.789,0.734,249.5,2.35,0.88,0.533,0.9074,0.963,0.8148,0.7593,0.9444,0.3704,0.7593,0.8333,6,3,11,14,4,35,42,10
00-0029604,K.Cousins,MIN,MIN,2020,QB,16,6,0.7462,2,2,2,85.18,1206.47,4.585,0.899,265.4,2.4,0.81,0.466,0.8511,0.7021,0.8723,0.7872,0.8085,0.7447,0.6809,0.6,8,15,7,11,10,13,33,19
00-0039910,J.Daniels,WAS,WAS,2024,QB,17,7,0.7867,2,2,2,111.51,1511.62,3.547,0.851,248.6,1.82,0.53,0.522,0.8936,0.9574,0.7872,0.8085,0.7872,0.6383,0.3191,0.7391,6,3,11,10,11,18,17,13
