receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,wrTier,tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0031325,S.Watkins,GB,GB,2022,WR,NA,128,NA,8,8,6.51,0,NA,NA,NA,0,0.296,1.76,4.56,20,2.52,0.5,0.3624161073825503,NA,NA,NA,0,0.9166666666666666,0.013422818791946308,0.020134228187919462,0,0.6778523489932886,0.9395973154362416,96,128,128,128,130,12,147,146,149,48,9
00-0032839,H.Sharp,NYG,NYG,2017,WR,NA,128,NA,8,8,1.21,1,NA,NA,NA,1,0.222,2.46,10.02,50,-1.19,0,0.33774834437086093,NA,NA,NA,0.9858156028368794,0.8028169014084507,0.4105960264900662,0.36423841059602646,0.2119205298013245,0,0.006622516556291391,101,131,131,131,3,29,89,96,118,149,150
00-0028411,D.Inman,WAS,WAS,2020,WR,10,129,0.2646,8,8,5.14,2,0.0751,163,18,0.667,0.103,3.34,9.5,62,-1.75,0.462,0.30303030303030304,0.4429530201342282,0.22818791946308725,0.1342281879194631,0.9675324675324676,0.10126582278481013,0.7696969696969697,0.36363636363636365,0.4121212121212121,0.5151515151515151,0.030303030303030304,116,84,116,130,6,143,39,106,98,81,161
00-0036999,A.Schwartz,CLE,CLE,2021,WR,14,129,0.2603,8,8,-7.84,1,0.0493,135,10,0.5,0.174,3.43,23.01,60,1.29,0.125,0.07738095238095238,0.22818791946308725,0.0738255033557047,0.053691275167785234,0.8695652173913043,0.45222929936305734,0.7976190476190477,1,0.39880952380952384,0.06547619047619048,0.8154761904761905,156,116,139,142,18,85,35,1,96,158,32
00-0038941,T.Scott,CHI,CHI,2023,WR,17,129,0.1762,8,8,-11.05,0,0.0565,168,17,0,0.125,2.61,15.11,40,1.11,0.273,0.0547945205479452,0,0.14285714285714285,0.1,0,0.2,0.3150684931506849,0.910958904109589,0.04794520547945205,0.19310344827586207,0.7034482758620689,139,131,121,127,128,112,101,14,139,118,44
00-0034983,H.Renfrow,LV,LV,2019,WR,NA,129,NA,8,8,34.85,4,NA,NA,NA,0.154,0.111,3.64,6.49,65.834,1.4,0.515,0.8579881656804734,NA,NA,NA,0.3660130718954248,0.14465408805031446,0.9408284023668639,0.07692307692307693,0.7159763313609467,0.7619047619047619,0.8562874251497006,25,135,135,135,98,136,11,157,49,41,25
00-0030821,A.Hurns,DAL,DAL,2018,WR,NA,129,NA,8,8,13.28,2,NA,NA,NA,0.2,0.2,1.27,11.86,47.778,1.54,0.5,0.6375,NA,NA,NA,0.3509933774834437,0.6217948717948718,0.00625,0.6375,0.125,0.6875,0.8616352201257862,59,131,131,131,98,57,160,59,141,50,23
00-0029319,J.Bellamy,CHI,CHI,2016,WR,NA,129,NA,8,8,6.33,1,NA,NA,NA,0.333,0.237,2.26,15.08,51.323,-0.66,0.25,0.43870967741935485,NA,NA,NA,0.7210884353741497,0.8378378378378378,0.25806451612903225,0.8580645161290322,0.23870967741935484,0.09090909090909091,0.4129032258064516,88,133,133,133,39,25,116,23,119,140,92
00-0033536,M.Williams,NYJ,NYJ,2024,WR,NA,129,NA,8,8,7.5,0,NA,NA,NA,0,0.314,3.24,14.45,80,-0.95,0.412,0.40789473684210525,NA,NA,NA,0,0.965034965034965,0.6973684210526315,0.9078947368421053,0.9407894736842105,0.4473684210526316,0.05921052631578947,91,135,135,135,141,5,46,14,7,84,143
00-0036326,C.Claypool,PIT,PIT,2022,WR,NA,129,NA,8,8,5.6,1,NA,NA,NA,0.167,0.139,2.72,10.12,59.69,-0.45,0.522,0.348993288590604,NA,NA,NA,0.38571428571428573,0.24305555555555555,0.3624161073825503,0.4429530201342282,0.35570469798657717,0.7919463087248322,0.174496644295302,98,129,129,129,87,110,96,84,97,32,124
00-0031697,J.Taylor,DEN,DEN,2017,WR,NA,129,NA,8,8,-0.05,0,NA,NA,NA,0,0.1,1.72,11.54,75,0.05,0.2,0.31788079470198677,NA,NA,NA,0,0.11267605633802817,0.059602649006622516,0.5298013245033113,0.9337748344370861,0.10596026490066225,0.4304635761589404,104,132,132,132,137,127,143,72,9,134,87
00-0036271,Q.Watkins,PHI,PHI,2020,WR,6,130,0.26,8,8,1.84,1,0.0526,106,7,0,0.154,3.64,7.89,20,-0.09,0.4,0.20606060606060606,0.3691275167785235,0.11409395973154363,0.174496644295302,0,0.27848101265822783,0.896969696969697,0.19393939393939394,0.006060606060606061,0.3393939393939394,0.3333333333333333,132,95,133,124,121,115,18,134,165,110,111
00-0033591,N.Brown,DAL,DAL,2021,WR,13,130,0.2577,8,8,0.2,0,0.0502,184,16,0,0.24,3.13,6.34,66.667,0.13,0,0.24404761904761904,0,0.087248322147651,0.12080536912751678,0,0.821656050955414,0.6428571428571429,0.10119047619047619,0.6666666666666666,0,0.44047619047619047,128,141,137,132,146,29,61,152,56,161,95
00-0036387,J.Reagor,NE,NE,2023,WR,11,130,0.1691,8,8,-11.39,1,0.062,138,7,0,0.13,1.62,21.19,18.333,-0.19,0.125,0.0410958904109589,0.29285714285714287,0.18571428571428572,0.14285714285714285,0,0.22857142857142856,0.00684931506849315,0.9794520547945206,0.00684931506849315,0.10344827586206896,0.25517241379310346,141,99,115,121,110,109,146,4,146,131,109
00-0032160,T.Williams,LV,LV,2019,WR,NA,130,NA,8,8,28.85,8,NA,NA,NA,0.5,0.312,2.36,14.9,58.423,0,0.667,0.8165680473372781,NA,NA,NA,0.8823529411764706,0.9811320754716981,0.20710059171597633,0.893491124260355,0.3609467455621302,0.9523809523809523,0.38922155688622756,32,136,136,136,18,3,135,19,109,9,103
