receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,TE_tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0030472,J.Reed,WAS,WAS,2017,TE,6,15,0.6345,4,4,4,8.1,2,0.1577,211,27,0.5,0.057,2.92,6.11,76.5,-0.13,0.455,0.5901639344262295,0.7735849056603774,0.7924528301886793,0.7924528301886793,0.847457627118644,0.016666666666666666,0.5737704918032787,0.19672131147540983,0.8688524590163934,0.5833333333333334,0.36065573770491804,26,12,12,12,4,60,27,50,9,25,40
00-0036894,P.Freiermuth,PIT,PIT,2021,TE,16,15,0.6344,4,4,4,25.75,7,0.1212,499,60,0.333,0.088,3.1,5.42,71.912,1.33,0.5,0.875,0.8596491228070176,0.6140350877192983,0.5964912280701754,0.5967741935483871,0.15,0.3125,0.359375,0.71875,0.6557377049180327,0.84375,9,9,23,24,21,52,45,42,19,19,11
00-0030472,J.Reed,WAS,WAS,2018,TE,13,15,0.6312,4,4,4,-1.2,3,0.1799,562,54,0.429,0.143,3.35,6.31,67.481,0.34,0.345,0.21052631578947367,0.5306122448979592,0.9387755102040817,0.8367346938775511,0.7142857142857143,0.3508771929824561,0.631578947368421,0.3157894736842105,0.5964912280701754,0.375,0.45614035087719296,46,24,4,9,15,37,22,40,24,36,32
00-0034383,D.Schultz,DAL,DAL,2022,TE,15,15,0.6283,4,4,4,-0.34,6,0.1732,577,57,0.312,0.112,3.11,8.01,67.318,0.54,0.357,0.2923076923076923,0.8297872340425532,0.8723404255319149,0.7872340425531915,0.5806451612903226,0.26229508196721313,0.2923076923076923,0.7076923076923077,0.5846153846153846,0.46875,0.6461538461538462,47,9,7,11,27,46,47,20,28,34,24
00-0035229,T.Hockenson,DET,DET,2019,TE,12,15,0.5752,4,4,4,8.63,2,0.1274,367,32,0.143,0.153,2.38,8.19,56.425,1.49,0.5,0.5483870967741935,0.3333333333333333,0.6851851851851852,0.5925925925925926,0.20689655172413793,0.45901639344262296,0.06451612903225806,0.5645161290322581,0.20967741935483872,0.6612903225806451,0.8064516129032258,29,36,18,23,46,34,59,28,50,21,13
00-0038933,D.Kincaid,BUF,BUF,2023,TE,16,16,0.6464,4,4,4,12.6,2,0.1585,673,73,0,0.11,3.57,6.74,79.672,0.28,0.35,0.6779661016949152,0.4642857142857143,0.8035714285714286,0.7678571428571429,0,0.24561403508771928,0.5423728813559322,0.6101694915254238,0.8305084745762712,0.2807017543859649,0.5423728813559322,20,31,12,14,48,44,28,24,11,42,28
00-0027061,J.Cook,NO,NO,2020,TE,15,16,0.644,4,4,4,28.56,7,0.1147,504,37,0.4,0.2,2.25,10.44,61.455,0.28,0.6,0.8793103448275862,0.875,0.625,0.6785714285714286,0.7192982456140351,0.6842105263157895,0.13793103448275862,0.9310344827586207,0.2413793103448276,0.7894736842105263,0.41379310344827586,8,8,22,19,15,18,51,5,45,13,35
00-0032134,C.Uzomah,CIN,CIN,2021,TE,16,16,0.6333,4,4,4,19.42,5,0.1094,493,49,0.143,0.127,3.84,4.76,75.93,1.39,0.429,0.8125,0.7719298245614035,0.5614035087719298,0.5789473684210527,0.2903225806451613,0.35,0.796875,0.21875,0.765625,0.5245901639344263,0.875,13,14,26,25,45,40,14,51,16,30,9
00-0034753,M.Andrews,BAL,BAL,2018,TE,16,16,0.6306,4,4,4,38.76,3,0.0852,552,34,0.286,0.26,2.6,10.15,64.171,0.76,0.692,0.9649122807017544,0.40816326530612246,0.4897959183673469,0.6530612244897959,0.5357142857142857,0.8245614035087719,0.15789473684210525,0.8421052631578947,0.3157894736842105,0.8928571428571429,0.6140350877192983,3,27,26,18,26,11,49,10,40,7,23
00-0022127,J.Witten,DAL,DAL,2017,TE,16,16,0.628,4,4,4,17.28,5,0.1654,560,63,0.308,0.069,2.66,7.09,72.267,-0.5,0.296,0.8524590163934426,0.71698113207547165,0.8301886792452831,0.7735849056603774,0.6779661016949152,0.06666666666666667,0.3114754098360656,0.4098360655737705,0.819672131147541,0.3,0.14754098360655737,10,14,10,13,20,57,43,37,12,43,53
00-0033895,G.Everett,LAC,LAC,2022,TE,16,16,0.622,4,4,4,2.3,5,0.1231,557,58,0.278,0.148,3.57,6.12,65.026,1.05,0.48,0.38461538461538464,0.7659574468085106,0.6382978723404256,0.723404255319149,0.4838709677419355,0.47540983606557374,0.5230769230769231,0.38461538461538464,0.4461538461538462,0.734375,0.8769230769230769,41,12,18,14,33,33,32,41,37,18,9
00-0033885,D.Njoku,CLE,CLE,2024,TE,11,16,0.6118,4,4,4,-5.21,5,0.2004,509,64,0.25,0.081,3.25,4.89,67.135,0.91,0.125,0.05357142857142857,0.9423076923076923,0.9230769230769231,0.8846153846153846,0.5454545454545454,0.14814814814814814,0.19642857142857142,0.25,0.17857142857142858,0.05555555555555555,0.75,54,4,5,7,22,47,46,43,47,51,15
00-0028112,C.Clay,BUF,BUF,2016,TE,15,16,0.5971,4,4,4,17.67,4,0.1809,552,57,0.214,0.103,3.04,8.78,66.452,-0.93,0.316,0.7,0.625,0.8541666666666666,0.5833333333333334,0.39655172413793105,0.21428571428571427,0.6833333333333333,0.65,0.43333333333333335,0.15,0.25,19,18,8,21,35,45,20,22,35,52,46
00-0030108,R.Griffin,NYJ,NYJ,2019,TE,13,16,0.5664,4,4,4,17.48,5,0.0905,322,34,0.5,0.163,4.19,7.55,82.143,0.88,0.667,0.7580645161290323,0.8518518518518519,0.3888888888888889,0.4444444444444444,0.8275862068965517,0.5573770491803278,0.8870967741935484,0.4838709677419355,0.8870967741935484,0.9193548387096774,0.6290322580645161,16,9,34,31,8,28,8,33,8,3,24
00-0033858,J.Smith,ATL,ATL,2023,TE,17,17,0.6434,5,5,5,9.01,3,0.123,582,50,0.222,0.171,3.82,5.47,74.828,1.97,0.357,0.4745762711864407,0.5892857142857143,0.6607142857142857,0.7321428571428571,0.38596491228070173,0.7017543859649122,0.711864406779661,0.3728813559322034,0.711864406779661,0.3157894736842105,0.8813559322033898,32,23,20,16,35,18,18,38,18,40,8
00-0034011,D.Arnold,JAX,JAX,2021,TE,8,17,0.6226,5,5,5,2.41,1,0.14,326,28,0,0.189,3.37,6.36,63.658,0.78,0.389,0.328125,0.2807017543859649,0.7543859649122807,0.7894736842105263,0,0.7833333333333333,0.53125,0.5,0.421875,0.39344262295081966,0.6875,44,40,15,13,51,13,30,32,37,37,20
00-0032392,A.Hooper,CLE,CLE,2020,TE,13,17,0.6222,5,5,5,22.45,4,0.1663,435,46,0.444,0.1,3.21,7.29,67.124,-1.81,0.438,0.7931034482758621,0.6964285714285714,0.875,0.6607142857142857,0.7894736842105263,0.22807017543859648,0.5862068965517241,0.4827586206896552,0.5172413793103449,0.47368421052631576,0,13,18,8,20,13,44,25,31,29,31,59
00-0030710,T.Burton,CHI,CHI,2018,TE,16,17,0.6217,5,5,5,14.47,6,0.1403,571,54,0.333,0.169,3.14,8.38,65.61,-0.17,0.4,0.6491228070175439,0.8163265306122449,0.8163265306122449,0.673469387755102,0.6071428571428571,0.543859649122807,0.45614035087719296,0.5964912280701754,0.42105263157894735,0.4642857142857143,0.21052631578947367,21,9,10,17,22,27,32,24,34,30,46
