posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
CIN,CIN,2023,27,0.6774,7,7,894.04,1543,12,0.406,0.129,0.0323,0.4194,0.2258
CLE,CLE,2024,27,0.6774,7,7,882.67,1613,8,0.442,0.0323,0.0968,0.0323,0.5484
MIN,MIN,2021,27,0.6774,7,7,1132.01,1947,10,0.403,0.6129,0.4839,0.0645,0.129
WAS,WAS,2019,27,0.6129,7,7,800.94,1588,9,0.375,0.0645,0.3226,0.129,0.1613
NYJ,NYJ,2020,27,0.5806,7,7,878.97,1690,9,0.436,0.129,0.2903,0,0.2903
TB,TB,2017,27,0.5161,7,7,978.23,1459,8,0.368,0.6129,0.1613,0.1613,0.1935
BAL,BAL,2016,27,0.4839,7,7,801.03,1476,10,0.375,0.1613,0.129,0.2258,0.129
NYG,NYG,2018,28,0.7097,7,7,811.72,1658,13,0.362,0.129,0.2581,0.4194,0.0323
MIN,MIN,2024,28,0.6774,7,7,1164.66,1878,9,0.412,0.5806,0.4194,0.0968,0.1613
NE,NE,2022,28,0.5806,7,7,967.32,1852,13,0.397,0.1935,0.2581,0.2258,0.0968
ATL,ATL,2019,28,0.5484,7,7,964.16,1373,10,0.399,0.5484,0.0645,0.2258,0.2581
NYG,NYG,2021,28,0.5484,7,7,876.66,1703,8,0.429,0.0323,0.2581,0,0.2903
LV,LV,2023,28,0.5161,7,7,1031.84,1561,11,0.39,0.3548,0.0645,0.3226,0.129
TB,TB,2016,28,0.4839,7,7,969.36,1636,8,0.377,0.6452,0.2581,0.0323,0.1935
CIN,CIN,2017,28,0.4516,7,7,756.8,1384,6,0.384,0.0645,0.0323,0.0645,0.3548
HOU,HOU,2020,28,0.4516,7,7,766,1476,10,0.44,0.0323,0.0323,0.0645,0.3548
CIN,CIN,2024,29,0.6452,8,8,991.05,1589,11,0.432,0.1935,0.0645,0.129,0.4516
