posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
BUF,BUF,2024,6,2.129,2,2,1117.47,3877,30,0.474,0.2903,0.7419,0.7419,0.6452
LA,LA,2018,7,2.3548,2,2,1373.86,4513,33,0.497,0.9032,0.871,0.7097,0.7742
SF,SF,2022,7,2.2903,2,2,1079.76,3856,30,0.499,0.2581,0.6129,0.7097,0.9677
PHI,PHI,2017,7,2.2903,2,2,1151.12,3743,40,0.441,0.7419,0.6129,1,0.6774
CIN,CIN,2021,7,2.2581,2,2,1165.8,4405,38,0.461,0.3871,0.8065,0.8065,0.6452
GB,GB,2023,7,2.2581,2,2,1299.75,3972,32,0.464,0.7419,0.6452,0.871,0.7419
LAC,LAC,2016,7,2.2581,2,2,1197.38,4198,37,0.457,0.5484,0.7742,0.9032,0.5806
SEA,SEA,2020,7,2.2581,2,2,1302.87,3943,41,0.503,0.7097,0.5161,0.9355,0.8065
LAC,LAC,2019,7,2.0968,2,2,1232.22,4428,26,0.486,0.6774,0.8387,0.4194,0.8387
SF,SF,2024,7,2.0645,2,2,1236.53,4234,23,0.491,0.6129,0.9032,0.3548,0.8065
LAC,LAC,2018,8,2.3226,2,2,1062.53,4099,34,0.501,0.2258,0.7097,0.7742,0.8387
TB,TB,2022,8,2.2581,2,2,1532.75,4590,26,0.483,0.9032,0.9677,0.4839,0.8065
BUF,BUF,2021,8,2.2258,2,2,1568.66,4288,36,0.471,0.9355,0.7419,0.7742,0.7097
PIT,PIT,2016,8,2.2258,2,2,1210.1,4208,33,0.457,0.6452,0.871,0.8065,0.5484
MIN,MIN,2020,8,2.1935,2,2,1118.96,4017,37,0.501,0.2258,0.6129,0.8387,0.7419
MIN,MIN,2023,8,2.1935,2,2,1422.58,4361,31,0.445,0.9677,0.871,0.8387,0.4839
ATL,ATL,2017,8,2.0968,2,2,1103.88,3990,23,0.499,0.5484,0.7742,0.3548,0.9677
SEA,SEA,2019,8,2.0968,2,2,1109.15,3793,35,0.468,0.4516,0.5806,0.9032,0.6129
GB,GB,2024,8,2,2,2,1074.9,3808,30,0.473,0.2258,0.6452,0.7419,0.6129
DAL,DAL,2022,9,2.2258,3,3,1136.36,3736,31,0.485,0.4194,0.5806,0.7419,0.9032
ARI,ARI,2021,9,2.1613,3,3,1307.81,4276,28,0.496,0.7097,0.7097,0.5806,0.871
NE,NE,2018,9,2.1613,3,3,1271.03,4258,29,0.508,0.7419,0.7742,0.4839,0.9032
KC,KC,2017,9,2.0968,3,3,1116.7,4104,26,0.46,0.5806,0.8065,0.5161,0.7742
LV,LV,2019,9,2.0645,3,3,1072.17,3926,25,0.508,0.2903,0.7419,0.3871,0.9355
NO,NO,2023,9,2.0323,3,3,1361.07,3994,30,0.451,0.9355,0.6774,0.7742,0.5806
KC,KC,2024,9,2,3,3,1455.51,3780,26,0.49,0.9677,0.5806,0.6452,0.7742
LAC,LAC,2020,9,2,3,3,1285.88,4333,31,0.474,0.6774,0.8387,0.6774,0.4839
TB,TB,2016,9,1.9355,3,3,1238.94,3934,31,0.472,0.7097,0.5161,0.7419,0.6774
LAC,LAC,2022,10,2.129,3,3,1615.06,4588,27,0.464,1,0.9355,0.5806,0.6129
PHI,PHI,2018,10,2.129,3,3,1263.33,4277,30,0.49,0.6774,0.8065,0.6129,0.7097
LA,LA,2017,10,2.0645,3,3,1147.53,3831,29,0.432,0.7097,0.7097,0.7419,0.6129
LV,LV,2021,10,2,3,3,1366.8,4567,25,0.467,0.7419,0.8387,0.4839,0.6774
LA,LA,2019,10,1.9677,3,3,1284.36,4499,26,0.475,0.8387,0.871,0.4194,0.6774
HOU,HOU,2023,10,1.9355,3,3,1180.89,4173,28,0.451,0.5484,0.8065,0.5161,0.6129
DET,DET,2016,10,1.9355,3,3,1326.57,4113,25,0.479,0.871,0.6774,0.4516,0.8065
TEN,TEN,2020,10,1.9032,3,3,1107.81,3655,34,0.515,0.1935,0.2903,0.7419,0.871
WAS,WAS,2024,10,1.871,3,3,1233.27,3669,29,0.474,0.5806,0.4839,0.7097,0.6774
SEA,SEA,2022,11,2.129,3,3,1202.2,3934,31,0.477,0.5806,0.6452,0.7419,0.7419
MIN,MIN,2018,11,2.0968,3,3,1264.41,4042,35,0.485,0.7097,0.6129,0.8065,0.6774
MIN,MIN,2017,11,2.0645,3,3,1027.84,3755,25,0.485,0.3871,0.6774,0.4516,0.9355
NE,NE,2021,11,2,3,3,1238.46,3861,28,0.493,0.5806,0.5806,0.5806,0.8387
BAL,BAL,2019,11,1.9355,3,3,1006.35,3225,37,0.484,0.1935,0.1613,0.9677,0.8065
ARI,ARI,2016,11,1.9032,3,3,1300.18,4138,30,0.446,0.8065,0.7419,0.7097,0.4516
LA,LA,2023,11,1.8387,3,3,1299.31,4069,27,0.454,0.7097,0.7097,0.4516,0.6774
DET,DET,2020,11,1.7742,3,3,1215.48,4108,30,0.471,0.5484,0.7419,0.6129,0.4194
LA,LA,2024,11,1.7742,3,3,1321.35,3868,22,0.492,0.7097,0.7097,0.2258,0.8387
JAX,JAX,2022,12,2.0323,3,3,1227.01,3965,25,0.484,0.6452,0.7097,0.4516,0.871
SF,SF,2021,12,2,3,3,964.1,4223,26,0.493,0,0.6452,0.5484,0.8065
SEA,SEA,2017,12,1.9677,3,3,1073.87,3661,35,0.424,0.4516,0.5806,0.9677,0.4194
HOU,HOU,2019,12,1.9355,3,3,1155.08,3785,28,0.483,0.5484,0.5484,0.6129,0.7742
JAX,JAX,2023,12,1.8387,3,3,1296.24,4128,23,0.466,0.6774,0.7419,0.3226,0.7742
ATL,ATL,2024,12,1.7742,3,3,1211.08,4068,23,0.465,0.5161,0.871,0.3548,0.5484
SEA,SEA,2016,12,1.7419,3,3,1111.82,4126,23,0.466,0.3226,0.7097,0.4194,0.6129
DAL,DAL,2020,12,1.7419,3,3,1476.53,4163,28,0.478,0.9677,0.7742,0.4194,0.5484
SF,SF,2018,12,1.6774,3,3,1078.45,3871,30,0.464,0.2903,0.5484,0.6129,0.5161
PHI,PHI,2022,13,2.0323,4,4,1167.34,4105,28,0.469,0.4839,0.7419,0.6452,0.6452
WAS,WAS,2017,13,1.9677,4,4,1031.88,3751,31,0.43,0.4194,0.6452,0.8065,0.5161
MIN,MIN,2021,13,1.9032,4,4,1213.94,4238,34,0.449,0.5161,0.6774,0.7419,0.4839
PHI,PHI,2019,13,1.9032,4,4,1303,3835,27,0.47,0.871,0.6774,0.5806,0.6452
ATL,ATL,2020,13,1.7097,4,4,1416.14,4365,27,0.474,0.9032,0.871,0.3871,0.4516
BAL,BAL,2023,13,1.7097,4,4,1124.01,3637,28,0.48,0.3548,0.3548,0.5161,0.8387
DAL,DAL,2016,13,1.6774,4,4,1030.52,3631,25,0.501,0.1613,0.2903,0.4516,0.9355
CAR,CAR,2018,13,1.6452,4,4,1162.49,3840,29,0.476,0.5161,0.5161,0.4839,0.6452
NYJ,NYJ,2024,13,1.6129,4,4,1358.64,3720,33,0.423,0.8387,0.5161,0.8387,0.2581
NE,NE,2019,14,1.8065,4,4,1404.96,3963,29,0.428,0.9677,0.7742,0.6452,0.3871
NO,NO,2022,14,1.8065,4,4,1098.19,3696,27,0.476,0.3548,0.5161,0.5806,0.7097
ARI,ARI,2020,14,1.7097,4,4,1145.14,3916,30,0.49,0.2903,0.4839,0.6129,0.6129
PHI,PHI,2023,14,1.6452,4,4,1145.77,3834,26,0.461,0.4194,0.5161,0.4194,0.7097
CHI,CHI,2016,14,1.6129,4,4,1120.26,3969,21,0.472,0.3548,0.5806,0.3226,0.7097
LV,LV,2017,14,1.6129,4,4,977.12,3635,26,0.432,0.1935,0.5161,0.5161,0.5806
MIA,MIA,2024,14,1.6129,4,4,1317.36,3741,23,0.479,0.6774,0.5484,0.3548,0.7097
SEA,SEA,2018,14,1.5161,4,4,900.13,3095,37,0.452,0.0645,0.1613,0.871,0.4839
BAL,BAL,2021,14,1.4839,4,4,1265.83,3965,24,0.448,0.6452,0.6129,0.4194,0.4516
DET,DET,2019,15,1.7742,4,4,1198.34,3900,29,0.435,0.6129,0.7097,0.6452,0.4194
LV,LV,2022,15,1.7419,4,4,1231.14,3934,31,0.434,0.7097,0.6452,0.7419,0.3548
LAC,LAC,2023,15,1.6129,4,4,1310.91,3956,27,0.45,0.8065,0.6129,0.4516,0.5484
PIT,PIT,2020,15,1.6129,4,4,1361.41,4007,36,0.452,0.8065,0.5484,0.8065,0.2581
DEN,DEN,2024,15,1.5806,4,4,1159.61,3610,30,0.436,0.3548,0.3871,0.7419,0.4516
LV,LV,2016,15,1.5806,4,4,1195.06,4059,29,0.429,0.5161,0.6129,0.6774,0.2903
DAL,DAL,2017,15,1.5161,4,4,1012.9,3141,27,0.443,0.2581,0.1935,0.6129,0.7097
CLE,CLE,2018,15,1.4839,4,4,1125.1,4011,31,0.42,0.4194,0.5806,0.6774,0.2258
ATL,ATL,2021,15,1.4194,4,4,1180.07,3713,23,0.458,0.4516,0.5161,0.3226,0.5806
GB,GB,2022,16,1.6774,4,4,1212.82,3636,28,0.455,0.6129,0.4839,0.6452,0.5484
NYG,NYG,2019,16,1.6452,4,4,1142.27,3735,34,0.425,0.4839,0.4516,0.871,0.3226
CIN,CIN,2023,16,1.5806,4,4,1346.27,3897,28,0.45,0.9032,0.5484,0.5161,0.5161
SEA,SEA,2024,16,1.5806,4,4,1185.01,4020,22,0.472,0.4194,0.7742,0.2258,0.5806
NO,NO,2020,16,1.5484,4,4,1239.12,3758,28,0.498,0.6129,0.4194,0.4194,0.7097
TEN,TEN,2016,16,1.5161,4,4,1061.84,3541,33,0.451,0.2581,0.2258,0.8065,0.4839
HOU,HOU,2018,16,1.4516,4,4,1193.36,3781,26,0.471,0.5806,0.4839,0.3871,0.5806
MIA,MIA,2017,16,1.4194,4,4,1138.32,3535,27,0.42,0.6774,0.4516,0.6129,0.3548
SEA,SEA,2021,16,1.3871,4,4,975.38,3434,31,0.446,0.0323,0.2903,0.6774,0.4194
ARI,ARI,2024,17,1.5484,5,5,1219.21,3639,22,0.493,0.5484,0.4516,0.2258,0.871
TEN,TEN,2019,17,1.5484,5,5,887.82,3582,29,0.454,0,0.3548,0.6452,0.5484
CLE,CLE,2020,17,1.5161,5,5,1067.33,3541,28,0.505,0.1613,0.2581,0.4194,0.8387
