fantasy_player_id,fantasy_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,rbTier,tier,totalEPA,totalTD,run_share,YPG,EPA_rank,td_rank,run_rank,YPG_rank,tgt_share,conversion,explosive_rate,third_down_rate,avg_eff,avg_RYOE_perAtt,tgt_rank,third_rank,conversion_rank,explosive_rank,RYOE_rank,eff_rank,EPA_rank_num,td_rank_num,run_rank_num,tgt_rank_num,YPG_rank_num,third_rank_num,conversion_rank_num,explosive_rank_num,RYOE_rank_num,eff_rank_num
00-0034791,N.Chubb,CLE,CLE,2020,RB,12,2,0.8771,1,1,21.81,12,0.4961,88.8,0.9666666666666667,0.9693877551020408,0.7346938775510204,0.9795918367346939,0.045112781954887216,0.297,0.07894736842105263,0.8888888888888888,3.750349664230733,1.2350488341631958,0.3469387755102041,0.8782608695652174,0.7692307692307693,0.9326923076923077,0.9583333333333334,0.6833333333333333,5,4,27,65,3,15,28,8,6,39
00-0032144,M.Gordon,LAC,LAC,2018,RB,12,2,0.8527,1,1,24.73,14,0.5867,73.9,0.9545454545454546,0.9571428571428572,0.8714285714285714,0.9,0.16341463414634147,0.308,0.08522727272727272,0.8333333333333334,3.97123820029766,-0.028297025930469743,0.9142857142857143,0.9523809523809523,0.9411764705882353,0.8421052631578947,0.5340909090909091,0.6704545454545454,5,4,10,7,8,4,6,13,42,30
00-0037840,K.Williams,LA,LA,2023,RB,12,2,0.8524,1,1,7.89,15,0.6939,95.5,0.9318181818181818,0.974025974025974,0.974025974025974,1,0.10367170626349892,0.196,0.039301310043668124,0.6153846153846154,3.3898021362091906,0.4279564563122946,0.7792207792207793,0.8372093023255814,0.7380952380952381,0.5,0.7386363636363636,0.9204545454545454,7,3,3,18,1,15,23,38,24,8
00-0034791,N.Chubb,CLE,CLE,2021,RB,14,2,0.838,1,1,18.76,9,0.5658,89.9,0.9428571428571428,0.8222222222222222,0.8666666666666667,0.9777777777777777,0.05422993492407809,0.122,0.07456140350877193,0.5,3.7223852554417483,1.2646402525238694,0.3888888888888889,0.3564356435643564,0.34285714285714286,0.9,0.9523809523809523,0.8380952380952381,7,17,13,56,3,55,70,10,6,18
00-0034750,R.Penny,SEA,SEA,2022,RB,5,2,0.8142,1,1,14.21,2,0.5429,69.2,0.9456521739130435,0.55,0.8166666666666667,0.9,0.02976190476190476,0,0.10526315789473684,1,3.191891230182621,0.5635441817191187,0.18333333333333332,0.9560439560439561,0,0.9873417721518988,0.7608695652173914,0.967391304347826,6,27,12,50,7,1,77,2,23,4
00-0033280,C.McCaffrey,CAR,CAR,2019,RB,16,2,0.8126,1,1,36.23,19,0.7539,86.8,1,0.9753086419753086,0.9753086419753086,0.9753086419753086,0.20549927641099855,0.193,0.04513888888888889,0.3125,4.066285207365869,0.7239960506541552,1,0.21505376344086022,0.6185567010309279,0.29213483146067415,0.8469387755102041,0.5714285714285714,1,2,3,1,3,74,38,64,16,43
00-0027029,L.McCoy,BUF,BUF,2016,RB,15,2,0,1,1,28.7,14,0.5087,84.6,0.989247311827957,0.9682539682539683,0.6666666666666666,0.9365079365079365,0.11949685534591195,0.282,0.09361702127659574,0.4166666666666667,4.318543562505436,NA,0.9047619047619048,0.42696629213483145,0.9021739130434783,0.8690476190476191,NA,0.5161290322580645,2,3,22,7,5,52,10,12,12,46
00-0028087,D.Lewis,NE,NE,2017,RB,16,2,0,1,1,31.89,9,0.4157,56,0.9886363636363636,0.8309859154929577,0.6197183098591549,0.7746478873239436,0.05608974358974359,0.171,0.06111111111111111,0.7142857142857143,3.392705390555776,NA,0.352112676056338,0.8390804597701149,0.6091954022988506,0.8271604938271605,NA,0.9204545454545454,2,12,28,47,17,15,35,15,15,8
00-0039139,J.Gibbs,DET,DET,2024,RB,17,3,0.8722,1,1,50.03,19,0.4836,83.1,1,0.9736842105263158,0.6842105263157895,0.9473684210526315,0.10824742268041238,0.222,0.1,0.6521739130434783,3.747688443388152,1.0561244546133322,0.9078947368421053,0.7619047619047619,0.8192771084337349,1,0.8452380952380952,0.7261904761904762,1,2,25,8,5,21,16,1,14,24
00-0031687,R.Mostert,MIA,MIA,2023,RB,15,3,0.849,1,1,15.95,21,0.5305,67.5,0.9772727272727273,1,0.7662337662337663,0.8961038961038961,0.06072106261859583,0.34,0.06698564593301436,0.875,4.426146817784467,0.6406222154747574,0.4675324675324675,0.9767441860465116,0.9642857142857143,0.8648648648648649,0.875,0.36363636363636365,3,1,19,42,9,3,4,11,12,57
00-0033856,L.Fournette,TB,TB,2021,RB,14,3,0.8283,1,1,7.99,11,0.6081,58,0.9047619047619048,0.9333333333333333,0.9111111111111111,0.7777777777777778,0.13312202852614896,0.146,0.03888888888888889,0.75,3.670933567851299,0.40182927444278244,0.9444444444444444,0.8514851485148515,0.4380952380952381,0.5222222222222223,0.819047619047619,0.8571428571428571,11,7,9,6,19,14,59,44,20,16
00-0032241,T.Gurley,LA,LA,2018,RB,14,3,0.8247,1,1,30.43,21,0.7182,89.6,0.9659090909090909,1,0.9428571428571428,0.9857142857142858,0.14963503649635038,0.25,0.06538461538461539,0.5,3.976484468924717,-0.11051026329971424,0.9,0.5476190476190477,0.8235294117647058,0.6710526315789473,0.45454545454545453,0.6590909090909091,4,1,5,8,2,25,13,26,49,31
00-0036223,J.Taylor,IND,IND,2020,RB,15,3,0.8227,1,1,28.2,13,0.555,77.9,0.9916666666666667,0.9489795918367347,0.8367346938775511,0.9591836734693877,0.07428571428571429,0.188,0.06465517241379311,0.4583333333333333,3.87339703508723,0.6235712550205875,0.6020408163265306,0.3565217391304348,0.5213675213675214,0.75,0.8333333333333334,0.5583333333333333,2,6,17,40,5,75,57,27,21,54
00-0035261,T.Pollard,DAL,DAL,2022,RB,16,3,0.792,1,1,10.76,12,0.3971,62.9,0.9021739130434783,0.9,0.5166666666666667,0.7833333333333333,0.10166358595194085,0.261,0.08808290155440414,0.5882352941176471,3.524635198334202,1.6045777777367694,0.7666666666666667,0.6813186813186813,0.8636363636363636,0.9367088607594937,0.967391304347826,0.782608695652174,10,7,30,15,14,29,13,6,4,21
00-0033893,D.Cook,MIN,MIN,2019,RB,14,3,0.7704,1,1,32.47,13,0.5952,81.1,0.9897959183673469,0.9382716049382716,0.8024691358024691,0.9382716049382716,0.14578587699316628,0.255,0.052,0.5,4.655323895059775,0.24588228665192097,0.9259259259259259,0.43010752688172044,0.8144329896907216,0.5393258426966292,0.6020408163265306,0.19387755102040816,2,6,17,7,6,48,19,42,40,80
00-0033045,E.Elliott,DAL,DAL,2016,RB,15,3,0,1,1,26.43,16,0.6955,108.7,0.978494623655914,0.9841269841269841,0.9365079365079365,1,0.08350730688935282,0.308,0.06832298136645963,0.5238095238095238,3.7765499932562436,NA,0.5555555555555556,0.6292134831460674,0.9239130434782609,0.7142857142857143,NA,0.7634408602150538,3,2,5,29,1,34,8,25,25,23
00-0033923,K.Hunt,KC,KC,2017,RB,16,3,0,1,1,20.62,11,0.6851,82.9,0.9772727272727273,0.8732394366197183,0.9295774647887324,0.9436619718309859,0.10862068965517241,0.135,0.06985294117647059,0.7058823529411765,4.1693885683835745,NA,0.6901408450704225,0.8275862068965517,0.45977011494252873,0.9135802469135802,NA,0.5681818181818182,3,10,6,23,5,16,48,8,8,39
