receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0037614,John Metchie,HOU,2024,13,0.08061002179,254,1,24,6,2,7,8,6,J.Metchie,WR,65.7,HOU,16,0.1327769347,,7,3,6,5,,J.Metchie,8,3
00-0037664,Alec Pierce,IND,2024,16,0.1294559099,824,7,37,3,3,7,6,3,A.Pierce,WR,161.4,IND,16,0.1529612271,,3,4,8,8,,A.Pierce,1,7
00-0037666,Jalen Tolbert,DAL,2024,17,0.117037037,610,7,49,3,3,5,7,8,J.Tolbert,WR,152,DAL,16,0.1344410876,,4,4,5,5,,J.Tolbert,4,1
00-0037740,Garrett Wilson,NYJ,2024,17,0.2358346095,1106,9,101,2,3,4,6,8,G.Wilson,WR,251.9,NYJ,16,0.2616418627,,1,4,8,7,,G.Wilson,8,3
00-0037741,Jahan Dotson,PHI,2024,17,0.06693711968,216,0,19,6,3,5,3,1,J.Dotson,WR,56.2,PHI,16,0.1477079796,,6,4,4,3,,J.Dotson,8,8
00-0037744,Trey McBride,ARI,2024,16,0.2692307692,1146,2,111,1,3,5,4,3,T.McBride,TE,243.8,ARI,16,0.2893718917,,1,4,5,3,,T.McBride,4,6
00-0037809,Chigoziem Okonkwo,TEN,2024,17,0.1219931271,485,3,52,2,3,6,7,6,C.Okonkwo,TE,113.6,TEN,16,0.1792782305,,4,4,7,7,,C.Okonkwo,8,6
00-0037816,Romeo Doubs,GB,2024,13,0.1829573935,603,4,46,1,3,2,4,2,R.Doubs,WR,135.4,GB,16,0.211102107,,2,4,1,3,,R.Doubs,3,8
00-0037837,Calvin Austin,PIT,2024,17,0.1060329068,548,4,36,3,2,6,7,4,C.Austin,WR,124.3,PIT,16,0.1291016676,,4,3,6,8,,C.Austin,3,7
00-0037838,Isaiah Likely,BAL,2024,16,0.1247311828,477,6,42,4,3,1,1,1,I.Likely,TE,149.3,BAL,16,0.1732124874,,4,4,1,1,,I.Likely,2,8
