"player_id","player_name","season","games","passing_plays_total","passing_epa_total","passing_epa_avg","rushing_plays_total","rushing_epa_total","rushing_epa_avg","receiving_plays_total","receiving_epa_total","receiving_epa_avg","total_epa"
"00-0038935","B.Strange",2024,14,0,0,NA,0,0,NA,53,29.06,0.566,29.06
"00-0038938","J.Hyatt",2024,10,0,0,NA,0,0,NA,19,1.99,0.067,1.99
"00-0038941","T.Scott",2024,1,0,0,NA,0,0,NA,1,-0.07,-0.07,-0.07
"00-0038951","S.Tucker",2024,11,0,0,NA,50,10.14,0.027,12,9.15,0.611,19.29
"00-0038976","M.Mims",2024,16,0,0,NA,13,-2.58,-0.162,53,38.52,0.626,35.94
"00-0038977","T.Dell",2024,14,0,0,NA,9,-2.27,-0.338,81,59.19,0.696,56.92
"00-0038979","C.Tillman",2024,9,0,0,NA,1,-2.41,-2.41,51,27.78,0.29,25.37
"00-0038981","W.Morris",2024,1,0,0,NA,0,0,NA,1,0.7,0.7,0.7
"00-0038994","J.Addison",2024,15,0,0,NA,3,2.73,0.91,100,72.09,0.714,74.82
"00-0038996","T.Kraft",2024,17,0,0,NA,3,3.26,1.087,71,54.65,0.894,57.91
"00-0038997","J.Downs",2024,14,0,0,NA,1,-0.87,-0.87,107,71.42,0.684,70.55
"00-0038998","J.Haener",2024,6,45,-14.94,-0.384,0,0,NA,0,0,NA,-14.94
"00-0039021","R.Johnson",2024,12,0,0,NA,55,-4.45,-0.18,20,9.03,0.8,4.58
"00-0039032","T.Spears",2024,12,0,0,NA,84,-4.84,-0.124,35,1.96,-0.088,-2.88
"00-0039040","D.Achane",2024,17,0,0,NA,203,-11.26,-0.064,87,33.22,0.262,21.96
"00-0039041","E.Higgins",2024,14,0,0,NA,0,0,NA,24,11.97,0.536,11.97
"00-0039050","P.Durham",2024,5,0,0,NA,0,0,NA,14,12.05,1.142,12.05
"00-0039052","T.Palmer",2024,10,0,0,NA,0,0,NA,22,13.91,0.586,13.91
"00-0039062","J.Mingo",2024,14,0,0,NA,2,-5.33,-2.665,42,6.85,0.106,1.52
"00-0039064","Z.Flowers",2024,17,0,0,NA,9,2.15,0.217,117,80.9,0.663,83.05
"00-0039065","S.LaPorta",2024,16,0,0,NA,0,0,NA,83,59.25,0.97,59.25
"00-0039066","M.Mayer",2024,11,0,0,NA,0,0,NA,32,7.84,0.22,7.84
"00-0039067","R.Rice",2024,3,0,0,NA,1,2.35,2.35,29,22.77,0.791,25.12
"00-0039074","D.Allen",2024,6,0,0,NA,0,0,NA,13,1.44,0.054,1.44
"00-0039075","P.Nacua",2024,11,0,0,NA,11,2.14,0.295,107,78.32,0.686,80.46
"00-0039139","J.Gibbs",2024,17,0,0,NA,250,35.07,0.163,63,27.84,0.543,62.91
"00-0039144","L.Musgrave",2024,7,0,0,NA,0,0,NA,10,-0.12,-0.024,-0.12
"00-0039146","J.Reed",2024,17,0,0,NA,20,-2.88,-0.015,76,65.76,0.789,62.88
"00-0039150","B.Young",2024,14,414,-30.33,-0.146,1,-1.06,-1.06,0,0,NA,-31.39
"00-0039152","W.Levis",2024,12,344,-65.51,-0.253,23,-20.96,-0.458,0,0,NA,-86.47
"00-0039163","C.Stroud",2024,17,583,-13.08,0.007,3,-11.12,-3.707,1,0,0,-24.2
"00-0039164","A.Richardson",2024,11,277,-44.14,-0.041,59,14.61,0.284,1,-1.06,-1.06,-30.59
"00-0039165","Z.Charbonnet",2024,17,0,0,NA,135,-11.28,-0.133,52,2,0.015,-9.28
"00-0039236","J.Wilson",2024,9,0,0,NA,0,0,NA,15,5.45,0.405,5.45
"00-0039244","C.Collier",2024,2,0,0,NA,5,-3,-0.524,2,-1.09,-0.545,-4.09
"00-0039299","G.Holani",2024,2,0,0,NA,3,-0.77,-0.257,1,-0.41,-0.41,-1.18
"00-0039316","B.Cupp",2024,1,0,0,NA,0,0,NA,1,0,0,0
