"player_id","player_name","position","team","week","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr"
"00-0036183","K.Wilkerson","WR","LV",6,0,0,0,0,0,0,0,0,2,3,18,1,9.8
"00-0036196","G.Davis","WR","JAX",11,0,0,0,0,0,0,0,0,1,3,3,0,1.3
"00-0036212","T.Tagovailoa","QB","MIA",16,22,34,215,1,0,2,-1,0,0,0,0,0,12.5
"00-0036223","J.Taylor","RB","IND",18,0,0,0,0,0,34,177,1,1,2,3,0,25
"00-0036232","H.Bryant","TE","LV",9,0,0,0,0,0,0,0,0,2,2,22,0,4.2
"00-0036244","C.Parkinson","TE","LA",18,0,0,0,0,0,0,0,0,1,1,6,0,1.6
"00-0036251","Z.Moss","RB","CIN",8,0,0,0,0,0,5,11,0,4,4,28,0,7.9
"00-0036252","M.Pittman","WR","IND",18,0,0,0,0,0,0,0,0,6,10,72,0,13.2
"00-0036254","C.Johnson","WR","CHI",16,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036259","J.Jennings","WR","SF",18,0,0,0,0,0,0,0,0,7,10,52,0,12.2
"00-0036261","B.Aiyuk","WR","SF",7,0,0,0,0,0,0,0,0,2,6,23,0,4.3
"00-0036264","J.Love","QB","GB",18,7,12,69,0,0,0,0,0,0,0,0,0,2.76
"00-0036268","L.Shenault","WR","SEA",8,0,0,0,0,0,0,0,0,1,1,10,0,2
"00-0036275","D.Swift","RB","CHI",18,0,0,0,0,0,20,65,1,0,2,0,0,12.5
"00-0036290","C.Kmet","TE","CHI",18,0,0,0,0,0,0,0,0,2,2,3,0,2.3
"00-0036297","D.Evans","RB","CHI",14,0,0,0,0,0,3,3,0,0,0,0,0,0.3
"00-0036309","D.Mooney","WR","ATL",17,0,0,0,0,0,0,0,0,2,5,37,0,5.7
"00-0036322","J.Jefferson","WR","MIN",18,0,0,0,0,0,0,0,0,3,9,54,0,8.4
"00-0036328","A.Gibson","RB","NE",18,0,0,0,0,0,12,41,0,4,6,20,0,10.1
"00-0036331","D.Duvernay","WR","JAX",17,0,0,0,0,0,0,0,0,1,1,4,0,1.4
"00-0036332","J.Deguara","TE","JAX",16,0,0,0,0,0,0,0,0,1,1,4,0,1.4
"00-0036345","K.Osborn","WR","NE",10,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036355","J.Herbert","QB","LAC",18,28,36,346,2,0,4,42,0,0,0,0,0,28.04
"00-0036358","C.Lamb","WR","DAL",16,0,0,0,0,0,0,0,0,7,8,105,0,17.5
"00-0036360","C.Edwards-Helaire","RB","NO",18,0,0,0,0,0,8,26,0,1,1,14,0,5
"00-0036370","J.Kelley","RB","TEN",18,0,0,0,0,0,1,2,0,0,0,0,0,0.2
"00-0036387","J.Reagor","WR","LAC",14,0,0,0,0,0,0,0,0,1,1,4,0,1.4
"00-0036389","J.Hurts","QB","PHI",16,1,4,11,0,0,3,41,0,0,0,0,0,4.54
"00-0036407","J.Jeudy","WR","CLE",18,0,0,0,0,0,0,0,0,6,13,63,0,12.3
"00-0036410","T.Higgins","WR","CIN",18,0,0,0,0,0,0,0,0,4,5,53,0,9.3
"00-0036414","C.Akers","RB","MIN",18,0,0,0,0,0,6,65,0,2,2,4,0,8.9
"00-0036415","V.Jefferson","WR","PIT",18,0,0,0,0,0,0,0,0,3,4,18,0,4.8
"00-0036422","A.Trautman","TE","DEN",17,0,0,0,0,0,0,0,0,1,3,5,0,1.5
"00-0036425","D.Dallas","RB","ARI",18,0,0,0,0,0,1,22,0,1,1,5,0,3.7
"00-0036427","T.Johnson","WR","LA",18,0,0,0,0,0,0,0,0,4,7,35,1,13.5
"00-0036429","C.Woerner","TE","ATL",17,0,0,0,0,0,0,0,0,1,1,6,0,1.6
"00-0036438","S.Sullivan","TE","CAR",13,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036442","J.Burrow","QB","CIN",18,37,46,277,1,1,1,-1,0,0,0,0,0,12.98
"00-0036450","K.Vaughn","RB","SF",14,0,0,0,0,0,2,4,0,0,0,0,0,0.4
"00-0036463","C.Blair","WR","ATL",17,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036497","T.Jones","WR","JAX",17,0,0,0,0,0,0,0,0,1,1,11,0,2.1
"00-0036510","K.Yeboah","TE","NYJ",18,0,0,0,0,0,0,0,0,2,2,20,0,4
"00-0036527","D.Turner","WR","LV",13,0,0,0,0,0,0,0,0,1,1,25,0,3.5
"00-0036534","S.Zylstra","TE","DET",11,0,0,0,0,0,0,0,0,1,1,22,0,3.2
"00-0036550","R.Bateman","WR","BAL",18,0,0,0,0,0,0,0,0,5,8,76,1,18.6
"00-0036554","N.Collins","WR","HOU",18,0,0,0,0,0,0,0,0,5,5,38,1,14.8
"00-0036555","C.Hubbard","RB","CAR",16,0,0,0,0,0,25,152,2,4,5,13,0,32.5
"00-0036556","B.Jordan","TE","HOU",2,0,0,0,0,0,0,0,0,1,1,4,0,1.4
"00-0036590","Q.Morris","TE","BUF",18,0,0,0,0,0,0,0,0,3,4,20,0,5
"00-0036613","J.Waddle","WR","MIA",18,0,0,0,0,0,1,6,0,4,9,44,0,9
"00-0036620","D.Eskridge","WR","MIA",17,0,0,0,0,0,0,0,0,1,1,8,0,1.8
"00-0036626","D.Brown","WR","WAS",18,0,1,0,0,0,1,8,0,3,4,16,0,5.4
"00-0036628","J.Bates","TE","WAS",18,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036630","T.Wallace","WR","BAL",18,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036635","I.Smith-Marsette","WR","NYG",17,0,0,0,0,0,0,0,0,0,0,0,0,6
"00-0036637","N.Gray","TE","KC",18,0,0,0,0,0,1,-4,0,1,1,1,0,0.7
"00-0036640","Z.Davidson","TE","BUF",13,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036646","S.Fehoko","WR","LAC",9,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036670","J.Jefferson","RB","DET",17,0,0,0,0,0,3,9,0,0,0,0,0,0.9
"00-0036741","J.Stoll","TE","PHI",8,0,0,0,0,0,0,0,0,1,1,6,0,1.6
"00-0036754","B.Wright","TE","DET",14,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0036825","F.Franks","TE","CAR",18,0,0,0,0,0,0,0,0,1,1,12,0,2.2
"00-0036841","A.Trammell","WR","JAX",9,0,0,0,0,0,0,0,0,2,3,40,0,6
"00-0036842","K.Nwangwu","RB","NYJ",13,0,0,0,0,0,0,0,0,0,0,0,0,6
"00-0036849","T.Atwell","WR","LA",18,0,0,0,0,0,0,0,0,5,8,37,0,8.7
"00-0036862","B.Skowronek","WR","PIT",16,0,0,0,0,0,0,0,0,2,2,25,0,4.5
"00-0036875","R.Stevenson","RB","NE",17,0,0,0,0,0,2,1,0,0,1,0,0,0.1
"00-0036876","K.Granson","TE","IND",18,0,0,0,0,0,0,0,0,1,4,7,0,1.7
